"# of Use","# Terpakai"
"%1$s incl tax.","%1$s sudah termasuk pajak."
"%s - %s","%s - %s"
"%s Item(s)","%s Produk"
"Allow Dynamic Media URLs in Products and Categories","Ijinkan Dynamic Media URLs pada produk dan kategori"
"Allow HTML Tags on Frontend","Ijinkan HTML Tag pada Frontend"
"Allowed File Extensions","Perluasan file Diijinkan"
"Allowed file extensions to upload","Ekstensi file Untuk diunggah diijinkan"
"An error occurred while adding products to websites.","error terjadi ketika menambahkan produk ke situs."
"An error occurred while clearing comparison list.","error terjadi ketika membersihkan daftar perbandingan."
"An error occurred while removing products from websites.","error terjadi ketika menghapus produk dari situs."
"An error occurred while saving the URL rewrite","error terjadi ketika menyimpan tulis ulang URL"
"An error occurred while saving the attribute set.","error terjadi ketika menyimpan atribut set."
"An error occurred while saving the product. ","error terjadi ketika menyimpan produk. "
"An error occurred while saving the search query.","error terjadi ketika menyimpan pertanyaan yang dicari."
"An error occurred while saving this group.","error terjadi ketika menyimpan grup ini."
"An error occurred while trying to delete the category.","error terjadi mencoba untuk menghapus kategori."
"An error occurred while updating the product(s) attributes.","error terjadi ketika memperbarui atribut produk."
"An error occurred while updating the product(s) status.","error terjadi ketika memperbarui status produk."
"An invalid group ID is specified, skipping the record.",",ID group tidak berlaku di tentukan, lewati rekaman ."
"An invalid option ID is specified for %s (%s), skipping the record.","ID pilihan tidak berlaku ditentukan untuk% s (%s), melewatkan catatan."
"An invalid store was specified.","Sebuah Toko yang tidak valid sudah ditentukan."
"Anchor Custom Text","Teks Khusus Anchor"
"Anchor Custom Title","Judul khusus Anchor"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Berlaku untuk produk katalog dan kategori saja. Setiap konten media akan dimasukkan ke dalam editor sebagai URL statis. Hal ini tidak diperbarui jika konfigurasi sistem dasar URL berubah."
"Apply MAP (Default Value)","Terapkan MAP (Nilai Default)"
"Apply To","Terapkan Untuk"
"Approved","Disetujui"
"Are you sure you want to delete this category?","Apakah Anda yakin ingin menghapus kategori ini?"
"Are you sure you would like to remove all products from your comparison?","Apakah anda yakin akan menghapus semua produk dari pertimbangan Anda?"
"Are you sure you would like to remove this item from the compare products?","Apakah Anda yakin akan menghapus barang ini dari produk yang dibandingkan?"
"Are you sure?","Apakah anda yakin?"
"As low as:","Promo hari ini:"
"Assign","Menetapkan"
"Assign product link","Menetapkan tautan produk"
"Assign product to category","Menetapkan kategori produk"
"Assigned Products","Menetapkan Produk"
"Associated Products","Varian"
"Attrib. Set Name","Nama Set Atribut"
"Attribute ""%s"" is invalid.","Atribut ""%s"" tidak valid."
"Attribute ""%s"" is required.","Atribut ""%s"" dibutuhkan."
"Attribute Information","Informasi Atribut"
"Attribute Model","Model Atribut"
"Attribute Name:","Nama Atribut:"
"Attribute Set","Kumpulan Atribut"
"Attribute group with the ""/name/"" name already exists","Atribut grup dengan""/nama/"" nama telah ada"
"Attribute with the same code already exists","Atribut dengan kode yang sama sudah ada"
"Attributes","Atribut"
"Attrribute names can be specified per store.","Nama atribut dapat ditentukan per toko."
"Autogenerate","Digenerate Otomatis"
"Availability:","Ketersediaan:"
"Back","Kembali"
"Backend Model","Model Backend"
"Backend Table","Tabel Backend"
"Backend Table Title","Judul Tabel Backend"
"Backorders","Pemesanan"
"Based On","Berdasarkan"
"Before Order Confirmation","Sebelum Konfirmasi Pesanan"
"Best Value","Produk yang dianjurkan"
"Block after Info Column","Blok setelah info halaman"
"Bottom Block Options Wrapper","Pembungkus pilihan blok bawah"
"Bottom/Left","Bawah/Kiri"
"Bottom/Right","Bawah/Kanan"
"Browse By","Telusuri Berdasarkan"
"Bundle Items","Barang-barang bundel"
"Buy %1$s","Beli %1$s"
"Buy %1$s for","Beli %1$s untuk"
"Buy %1$s for %2$s","Beli %1$s untuk %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Beli %1$s untuk %2$s (%3$s termasuk pajak) masing-masing"
"Buy %1$s for %2$s each","Beli %1$s untuk %2$s masing-masing"
"Buy %1$s with %2$s discount each","Beli %1$s dengan %2$s masing- masing diskon"
"Cache Lifetime (Seconds)","Masa pakai cache (detik)"
"Cache refresh needed.","Diperlukan perbaruan cache."
"Can be used only with catalog input type Dropdown","Hanya dapat digunakan dengan tipe input katalog dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Hanya dapat digunakan dengan tipe input katalog dropdown, banyak pilihan dan harga"
"Can\'t create image.","Bisa\tidak bisa membuat gambar."
"Cancel","Batal"
"Cannot create image.","Tidak bisa membuat gambar."
"Cannot create writeable directory '%s'.","Tidak dapat membuat direktori yang bisa ditulis '%s'."
"Cart Item Attribute","Troli Barang  Atribut"
"Catalog","Katalog"
"Catalog Category (Anchor)","Kategori Katalog (Anchor)"
"Catalog Category (Non-Anchor)","Kategori Katalog (Non-Anchor)"
"Catalog Category (Without Subcategories)","Kategori Katalog (Tanpa Subkategori)"
"Catalog Category Link","Tautan Kategori Katalog"
"Catalog New Products List","Katalog Daftar Produk Baru"
"Catalog Price Scope","Katalog Lingkup Harga"
"Catalog Product Compare List","Katalog Daftar Perbandingan Produk"
"Catalog Product Email to a Friend","Email Produk Katalog Ke teman"
"Catalog Product Image Gallery Popup","Katalog Produk Popup Gambar Galeri"
"Catalog Product Link","Katalog Tautan Produk"
"Catalog Product View (Any)","Tampilan katalog Produk (Setiap)"
"Catalog Product View (Configurable)","Tampilan Katalog Produk (dapat dikonfigurasi)"
"Catalog Product View (Grouped)","Tampilan Katalog Produk (Dikelompokan)"
"Catalog Product View (Simple)","Tampilan Katalog Produk (Sederhana)"
"Catalog Product View (Virtual)","Tampilan Katalog Produk (Maya)"
"Catalog Section","Katalog Bagian"
"Catalog Seo Popular Search Terms","Katalog Seo Syarat pencarian populer"
"Catalog Seo Sitemap (Category List)","Katalog Seo Sitemap (Daftar Kategor)"
"Catalog Seo Sitemap (Category Tree)","Katalog Seo Sitemap (Pohon Kategori)"
"Catalog Seo Sitemap (Common)","Katalog Seo Sitemap (Umum)"
"Catalog Seo Sitemap (Product List)","Katalog Seo Sitemap (Daftar Produk)"
"Catalog URL Rewrites","Katalog URL Rewrites"
"Catalog, Search","Katalog, Pencarian"
"Categories","Daftar Kategori"
"Categories Sitemap","Kategori sitemap"
"Category","Kategori"
"Category API","Kategori API"
"Category Data","Data Kategori"
"Category Flat Data","Kategori Flat Data"
"Category Link Block Template","Template Kategori Link Blok "
"Category Link Inline Template","Template kategori Link Segaris"
"Category Products","Produk Kategori"
"Category Top Navigation","Navigasi Top Kategori"
"Category URL Suffix","kategori URL Suffix"
"Category attributes API","Kategori atribut API"
"Category move error","Kesalahan dalam pemindahan Kategori"
"Category move operation is not possible: parent category is equal to child category.","Tidak bisa memindah kategori: induk kategori sama dengan anak kategori."
"Category move operation is not possible: the current category was not found.","Tidak bisa memindah kategori: kategori sekarang tidak ditemukan."
"Category move operation is not possible: the new parent category was not found.","Operasi pemindahan kategori tidak dimungkinkan: Kategori orangtua baru tidak ditemukan."
"Category must be an instance of Mage_Catalog_Model_Category.","Kategori harus sebuah instant dari  Mage_Catalog_Model_Category."
"Center","Center"
"Change","Ubah"
"Change or Retrieve attribute store view","Ubah atau Ambil tampilan atribut toko "
"Change status","Ubah status"
"Check items to add to the cart or","Periksa item untuk ditambahkan ke keranjang atau,"
"Choose an Option...","Pilih sebuah opsi..."
"Clear All","Kosongkan Semua"
"Click for price","Klik untuk harga"
"Close Window","Tutup Jendela"
"Collapse All","Tutup Semua"
"Comma-separated.","Dipisahkan dengan Koma."
"Comparable","Dapat dibandingkan"
"Comparable on Front-end","Dapat dibandingkan dari ujung depan"
"Comparable on the Frontend","Dapat dibandingkan dari antarmuka"
"Compare","membandingkan"
"Compare Products","Membandingkan Produk"
"Conditions Combination","Kondisi Kombinasi"
"Configurable Product","Produk yang dapat dikonfigurasi"
"Configurable Product Settings","Pengaturan Produk Dapat dikonfigurasi"
"Configure Product","Konfigurasi Produk"
"Continue","Melanjutkan"
"Copy From Configurable","Salin Dari Konfigurasi"
"Country/State","Negara/Negara Bagian"
"Create","Membuat"
"Create (Upload)","Membuat(Unggah)"
"Create Empty","Membuat Kosong"
"Create Permanent Redirect for old URL","Buat Permanen diarahkan ke URL lama"
"Create Permanent Redirect for old URLs if Url key changed","Buat Permanen diarahkan untuk URLs lama jika Url key berubah"
"Create Product Settings","Buat Pengaturan Produk"
"Create Simple Associated Product","Buat Varian Produk sederhana"
"Create new category","Buat Kategori Baru"
"Create new product","Buat Produk Baru"
"Cross-sells","Cross-sells"
"Currently Shopping by:","Sedang Berbelanja oleh:"
"Custom Design","Desain Khusus"
"Custom Options","Pilihan Khusus"
"Customer Group","Kelompok Pelanggan"
"Customers Reviews","Tinjauan Pelanggan"
"Customers Tagged Product","Produk hasil Tag Pelanggan"
"Data Type for Saving in Database","Tipe Data untuk disimpan pada Database"
"Date & Time Custom Options","tanggal & Pilihan waktu khusus"
"Date Fields Order","Kolom Tanggal Pesanan"
"Date Subscribed","Tanggal Langganan"
"Datetime","Tanggal waktu"
"Decimal","Desimal"
"Declare attribute value saving scope","Menyatakan lingkup simpanan nilai atribut"
"Default ""What's This"" Text Message","Pesan ""Apa Ini"" Default"
"Default Popup Text Message","Pesan Popup Default"
"Default Price","Harga Standar"
"Default Price Navigation Step","Langkah Navigasi Harga Standar"
"Default Qty","Jumlah Standar"
"Default Values","Nilai Standar"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Menetapkan ruang lingkup mata uang dasar (""Pengaturan Mata uang"" > ""Pilihan Mata Uang"" > ""Mata Uang Dasar"")."
"Delete","Hapus"
"Delete Attribute","Hapus Atribut"
"Delete Attribute Set","Hapus Set Atribut"
"Delete Category","Hapus Kategori"
"Delete Option","Hapus Opsi"
"Delete Row","Hapus Deret"
"Delete Search","Hapus Pencarian"
"Delete Selected Group","Hapus Kelompok Terpilih"
"Delete category","Hapus Kategori"
"Delete product","Hapus Produk"
"Depends on design theme","Tergantung Dari Desain Tema"
"Design","Desain"
"Details","Detil"
"Disabled","Nonaktif"
"Disallowed file type.","Tipe file tak diijinkan."
"Display Actual Price","Tampilkan Harga Sebenarnya"
"Display in Suggested Terms","Tampilan di dalam Istilah yang disarankan"
"Double click on a group to rename it","Dobel klik on dalam grup untuk menamai ulang"
"Double click on above image to view full picture","Dobel klik pada gambar di atas untuk melihat keseluruhan gambar"
"Downloadable Information","Informasi Yang dapat diunduh"
"Duplicate","Duplikat"
"Duplicate website tier price customer group and quantity.","Duplikat situs harga kelompok pelanggan tingkat dan kuantitas."
"Duplicate website, country and state tax found.","Duplikat situs, pajak negara dan negara bagian ditemukan."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","C.o. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Arahan dinamis menguraikan dampak kinerja katalog."
"Edit","Ubah"
"Edit Attribute Set '%s'","Ubah Set Atribut '%s'"
"Edit Product Attribute","Ubah Atribut Produk"
"Edit Product Attribute ""%s""","Ubah Atribut Produk""%s"""
"Edit Search","Ubah Pencarian"
"Edit Search '%s'","Ubah Pencarian '%s'"
"Edit Set Name","Edit Set Nama"
"Email","Email"
"Email to a Friend","Emailkan ke teman Anda"
"Empty","Kosong"
"Enable MAP","Enable MAP"
"Enable Qty Increments","Aktifkan Tambahan Kuantitas"
"Enable WYSIWYG","Aktifkan WYSIWYG"
"Enabled","Aktif"
"Error during retrieval of option value: %s","Terjadi error saat penerimaan nilai pilihan: %s"
"Exclude","Pengecualian"
"Expand All","Memperluas Semua"
"Failed","Gagal"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Gagal untuk menyalin file %s. Silahkan,hapus media dengan yang tidak ada gambar dan coba lagi. "
"Failed to move file: %s","Gagal untuk memindahkan file: %s"
"Feature Products","Produk Yang ditampilkan"
"Field is not complete","Kolom tidak lengkap"
"File options format is not valid.","Format pilihan file Tidak Berlaku."
"File upload failed","Gagal mengunggah file"
"Filter model name must be declared.","Filter nama model harus dinyatakan."
"Filter must be an object. Please set correct filter.","Filter harus objek. Harap mengatur filter yang benar."
"Filterable (no results)","Dapat Disaring (tidak ada hasil)"
"Filterable (with results)","Dapat Disaring (dengan hasil)"
"First Name","Nama Depan"
"Fixed","Tetap"
"For internal use.","Untuk penggunaan internal."
"Frontend","Halaman Muka"
"Frontend Model","Model Halaman Muka"
"Frontend Properties","Properti Halaman Muka"
"Gallery","Galeri"
"General Information","Informasi Umum"
"Get special price","Dapatkah Harga Khusus"
"Global","Global"
"Globally Editable","Dapat diubah secara Global"
"Go to Home Page","Ke Halaman Utama"
"Grid","kisi"
"Grouped Product","Kelompok Produk"
"Groups","Kelompok Pelanggan"
"Home","Beranda"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Jika Kosong, Kategori Nama akan digunakan"
"If empty, the Product Name will be used","Jika Kosong, Nama Produk akan digunakan"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Bila Anda tidak menetapkan sebuah nilai pilihan untuk sebuah tampilan khusus toko maka (Admin) nilai standar akan digunakan. "
"Image","Gambar"
"Image content is not valid base64 data.","Isi gambar tidak berlaku base64 data. "
"Image does not exist.","Gambar tidak ada."
"Image file was not found.","file Gambar Tidak ditemukan."
"Image type and information need to be specified for each store view.","Tipe gambar dan informasi harus di tetapkan untuk tampilan setiap toko."
"In Cart","Di Cart"
"In Stock","Dalam Stok"
"In stock","Dalam Toko"
"Incl. Tax","Termasuk Pajak"
"Index product and categories URL rewrites","Indek produk dan kategori URL rewrites"
"Index product attributes for layered navigation building","Indek produk atribut bangunan"
"Index product prices","Indek harga produk"
"Indexed category/products association","Asosiasi Kategori pengindekan/produk"
"Info Column Options Wrapper","Info kolom Opsi Wrapper"
"Input Type","Masukan Tipe"
"Integer","Bilangan Bulat"
"Invalid Tier Prices","Harga tingkat tidak berlaku"
"Invalid attribute %s","Atribut Tidak berlaku %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opsi atribut tidak valid ditentukan untuk atribut %s (%s), lewati record."
"Invalid attribute set specified, skipping the record.","Set atribut tidak valid ditentukan, lewati record."
"Invalid block: %s.","Blok tidak valid: %s."
"Invalid category IDs.","Kategori IDs tidak valid."
"Invalid category.","Kategori tidak valid."
"Invalid image file type.","Tipe file gambar tidak valid."
"Invalid image type.","Tipe Gambar Tidak Berlaku."
"Invalid option ID specified for %s (%s), skipping the record.","Opsi ID tidak valid ditentukan %s (%s), lewati record."
"Invalid product type specified, skipping the record.","Tipe produk tidak valid ditentukan, lewati record."
"Invalid store specified","Spesifikasi toko tidak berlaku"
"Invalid store specified, skipping the record.","Toko tidak valid ditentukan, lewati record."
"Invalid tier prices. The product is not associated to the requested website.","Harga tier salah. Produk tidak terasosiasi dengan website tersebut."
"Inventory","Stok"
"Is Default","Adalah Patokan"
"Is Required","Diperlukan"
"Items %s to %s of %s total","Produk %s-%s dari %s"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items yang tidak anda inginkan untuk tampil pada katalog atau hasil pencarian harus memiliki status 'tidak aktif' pada toko yang diinginkan."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Barang yang tidak ingin anda tampilkan dalam katalog dan pencarian harus memiliki status ""Tidak Aktif"" pada toko yang diinginkan."
"Keep your eyes open for our special Back to School items and save A LOT!","Jaga mata Anda tetap terbuka untuk Kembali istimewa kami untuk item Sekolah dan menyimpan BANYAK! "
"Label","Label"
"Last Name","Nama Akhir"
"Last Notification","Notifikasi AKhir"
"Layered Navigation","Navigasi Berlapis"
"Learn More","Pelajari Lebih"
"Line %d, Email: %s","Garis %d, Email: %s"
"Line %d, SKU: %s","Garis %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Tautan (Berhubungan, Up sell, Cross sell)"
"Link product does not exist.","Link produk tidak ada."
"Link to a Specified Category","Link ke kategori ditentukan"
"Link to a Specified Product","Link ke produk ditentukan"
"List","Daftar"
"List Mode","Mode Daftar"
"List of Products that are set as New","Daftar produk yang diatur sebagai produk baru"
"Manage Attribute Sets","Kelola Set Atribut"
"Manage Attributes","Kelola Atribut"
"Manage Catalog Categories","Kelola Kategori"
"Manage Categories","Kelola Kategori"
"Manage Label / Options","Kelola Label / Pilihan"
"Manage Options (values of your attribute)","Kelola Pilihan (nilai dari atribut anda)"
"Manage Product Attributes","Kelola Atribut Produk"
"Manage Product Sets","Kelola Set Produk"
"Manage Products","Kelola  Produk"
"Manage Stock","Pencatatan Stok"
"Manage Titles (Size, Color, etc.)","Kelola Judul (Ukuran, Warna, dll.)"
"Max Characters","Karakter Maksimuml"
"Maximal Depth","Kedalaman Maksimal"
"Maximum Image Size","Ukuran Gambar Maksimum"
"Maximum Qty Allowed in Shopping Cart","Maksimum Kuantitas yang diperbolehkan dalam cart."
"Maximum image height","Tinggi Gambar Maksimum"
"Maximum image width","Lebar Gambar Maksimum"
"Maximum number of characters:","Jumlah karakter maksimum:"
"Media Image","Gambar Media"
"Minimum Advertised Price","Harga Jual Minimum"
"Minimum Lines per Page","Minimum garis per halaman"
"Minimum Qty Allowed in Shopping Cart","Minimum Kuantitas yang diperbolehkan dalam cart."
"Minimum Qty for Item\'s Status to be Out of Stock","Jumlah minimum untuk status barang yang akan habis"
"Missing SKU, skipping the record.","SKU Hilang, lewati record."
"More Views","Gambar Selengkapnya"
"Move","Pindah"
"Move category in tree","Pindahkan kategori pada pohon"
"Must be in the allowed values list.","Harus dalam daftar nilai yang diperbolehkan. "
"N/A","N/A"
"Name","Nama"
"Name in %s","Nama Pada %s"
"New Product","Produk Baru"
"New Product Attribute","Atribut Produk Baru"
"New Products","Produk Baru"
"New Products Grid Template","template Kisi Produk Baru"
"New Products List Template","template Daftar Produk Baru"
"New Root Category","Kategori sumber baru"
"New Search","Pencarian"
"New Set Name","Nama Set Baru"
"New Subcategory","Sub Kategori Baru"
"Next","Lanjut"
"No","Tidak"
"No image","Tidak ada Gambar"
"No layout updates","Tidak ada Perbaruan Tampilan"
"No options of this product are available.","Tidak ada pilihan dari produk yang tersedia."
"No product collections found.","tidak ada koleksi produk ditemukan."
"None","tidak ada"
"Not Visible Individually","tidak tampak secara individu"
"Notify Low Stock RSS","Memberitahukan RSS Saham Rendah "
"Notify for Quantity Below","Memberitahukan Untuk Kuantitas dibawah"
"Number of Products to Display","Jumlah Produk Untuk ditampilkan"
"Number of Uses","Jumlah Penggunaan"
"Number of results<br/>(For the last time placed)","Jumlah Hasil<br/>(Untuk terakhir kalinya ditempatkan)"
"OK","OK"
"OR","ATAU"
"Old Price:","Harga Lama:"
"On Gesture","Pada Gesture"
"Option validation failed to add product to cart.","Pilihan validasi gagal menambah produk ke keranjang. "
"Option:","Pilihan:"
"Options Control","Opsi Pengawasan"
"Options is required","Opsi diperlukan"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Layanan pelanggan kami tersedia 24 / 7. Hubungi kami di (555) 555-0123. "
"Out of Stock","Stok Habis"
"Out of stock","Stok Habis"
"PM","PM"
"Page Title Separator","Pembatas Judul Halaman"
"Parent Category","Kategori Atas"
"Pending","Tunda"
"Pending Reviews RSS","RSS dari review yang ditunda"
"Percentage","Persentasi"
"Please add rows to option.","Harap tambahkan baris ke pilihan. "
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Mohon Hati-hati karena setelah anda klik pada baris itu akan memuat data dalam bentuk paket file terpilih dan semua data formulir yang belum disimpan akan hilang."
"Please click on the Close Window button if it is not closed automatically.","Silakan klik pada tutup tombol window jika tidak ini akan ditutup secara otomatis."
"Please enter a new group name","Tolong masukan nama kelompok yang baru"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Silakan perbarui ""Katalog URL Rewrites"" dan ""Atribut Produk"" pada System -> <a href=""%s"">Index Management</a>"
"Please select a static block ...","Silakan pilih sebuah blok statis ..."
"Please select items.","Silakan Pilih items."
"Please select one or more attributes.","Tolong pilih satu atau beberapa atribut."
"Please select product(s).","Silakan pilih produk."
"Please select products for attributes update","Silakan pilih produk untuk atribut yang diperbarui"
"Please specify date required option(s).","Silakan tentukan tanggal opsi yang dibutuhkan."
"Please specify the product required option(s)","Silakan tentukan Produk yang diminta"
"Please specify the product required option(s).","Silakan tentukan pilihan permintaan produk."
"Please specify the product\'s option(s).","Silakan tentukan pilihan produk."
"Please specify the product\'s required option(s).","Silakan tentukan pilihan produk yang dibutuhkan."
"Please specify the quantity of product(s).","Silakan tentukan Jumlah produk."
"Please specify time required option(s).","Silakan tentukan pilihan waktu yang dibutuhkan."
"Please wait...","Silahkan tunggu..."
"Position","Posisi"
"Position in Layered Navigation","Posisi dalam navigasi berlapis"
"Position of attribute in layered navigation block","Posisi dari atribut blok navigasi berlapis"
"Prev","sebelum"
"Price","Harga"
"Price Navigation Step Calculation","Langkah Kalkulasi navigasi harga"
"Price Type","Tipe harga"
"Price is not available","Harga tidak tersedia"
"Price values for options should be specified in system base currency.","Harga nilai untuk pilihan harus ditentukan dalam sistem dasar mata uang."
"Price:","Harga:"
"Price: %s","Harga: %s"
"Print This Page","Print Halaman ini"
"Product","Produk"
"Product API","Produk API"
"Product Alerts","Pemberitahuan Produk"
"Product Attribute","Atribut Produk"
"Product Attributes","Atribut Produk"
"Product Categories","Kategori Produk"
"Product Description","Deskripsi Produk"
"Product Extra Info","Info Tambahan Produk"
"Product Flat Data","Data Tingkat Produk"
"Product ID","ID Produk"
"Product Image Placeholders","Gambar Produk Placeholder"
"Product Image Watermarks","Tanda Air Gambar Produk"
"Product Images","Gambar Produk"
"Product Images API","Gambar Produk API"
"Product In Websites","Produk dalam Situs"
"Product Info Column","Kolom Info Produk"
"Product Information","Informasi Produk"
"Product Link Block Template","Produk Link Blok Template"
"Product Link Inline Template","Produk Link Segaris Template"
"Product Listing Sort by","Produk Listing diurutkan oleh"
"Product Name","Nama Produk"
"Product Prices","Harga Produk"
"Product Reviews","Tinjauan Produk"
"Product Tags","Tag Produk"
"Product Tier Price API","Harga Kelompok Produk API"
"Product Type","Tipe Produk"
"Product URL Suffix","Produk Akhiran URL"
"Product View Extra Hint","Tampilan Produk Extra Petunjuk"
"Product attribute sets API","Set Atribut Produk API"
"Product attributes API","atribut Produk API"
"Product collection expected.","Koleksi produk yang diharapkan. "
"Product is not loaded","Produk tidak dimasukan"
"Product links API (related, cross sells, up sells)","Tautan Produk API (terkait, penawaran, penjualan)"
"Product name","Nama produk"
"Product types API","Tipe Produk API"
"Product with this combination of attributes already associated to configurable.","Produk dengan kombinasi atribut ini telah diasosiasikan ke dapat dikonfigurasikan."
"Products","Produk"
"Products Comparison List","Products Comparison List"
"Products Information","Informasi Produk"
"Products Reviews","tinjauan Produk"
"Products Sitemap","sitemap Produk"
"Products only","Hanya Produk"
"Products per Page on Grid Allowed Values","Produk per halaman pada grid nilai yang diijinkan"
"Products per Page on Grid Default Value","Produk per halaman pada nilai grid standar"
"Products per Page on List Allowed Values","Produk per halaman pada daftar nilai yang diijinkan"
"Products per Page on List Default Value","Produk perhalaman pada daftar nilai standar"
"Properties","Properti"
"Qty","Kuantitas"
"Qty Increments","Jumlah Increments"
"Qty Uses Decimals","Kuantitas Mengunakan Desimal"
"Qty for Item\'s Status to become Out of Stock","Status jumlah barang yang akan habis"
"Qty:","Kuantitas:"
"Quantity","Quantity"
"Quick Create","Buat cepat"
"Quick Overview","Sinopsis"
"Quick simple product creation","Penambahan varian produk"
"Records for ""","Records untuk """
"Redirect","Mengarahkan"
"Redirect URL","Mengarahkan URL"
"Regular Price:","Harga Normal:"
"Related Products","Produk Sejenis"
"Remove","Buang"
"Remove Product From Websites","Hilangkan Produk dari situs"
"Remove This Item","Buang Barang ini"
"Remove product assignment","Hapus penugasan produk"
"Remove product image","Hapus Gambar Produk"
"Remove product link","Hapus Tautan Produk"
"Reorganize EAV category structure to flat structure","Reorganisasi struktur kategori EAV untuk struktur datar"
"Reorganize EAV product structure to flat structure","Reorganisasi struktur Produk EAV untuk struktur datar"
"Reset","Set ulang"
"Results","Hasil"
"Retrieve attribute data","mengambil data atribut"
"Retrieve attribute list","Mengambil daftar atribut"
"Retrieve attribute options","Mengambil Pilihan atribut"
"Retrieve categories tree","Mengambil Turunan Kategori"
"Retrieve category attributes","Mengambil Atribut kategori"
"Retrieve category data","Mengambil Data Kategori"
"Retrieve hierarchical tree","Mengambil Turunan Hierarki"
"Retrieve linked products","Mengambil Poduk Bertautan"
"Retrieve list of assigned products","Mengambil Daftar dari Produk yang ditandai"
"Retrieve one level of categories by website/store view/parent category","Mengambil satu level dari kategori oleh situs/tampilan toko/kategori induk"
"Retrieve product","menerima produk"
"Retrieve product attribute sets","Mengambil set atribut produk"
"Retrieve product image","Mengambil gambar produk"
"Retrieve product image list","Mengambil daftar gambar produk"
"Retrieve product image types","mengambil tipe gambar produk"
"Retrieve product link type attributes","Mengambil atribut tipe tautan produk"
"Retrieve product link types","Mengambil tipe tautan produk"
"Retrieve product tier prices","Mengambil harga kelompok produk"
"Retrieve product types","Mengambil tipe produk"
"Retrieve products data","Mengambil data Produk"
"Retrieve products list by filters","Mengambil daftar produk oleh filter"
"Reviews","Tinjauan"
"Roll Over for preview","Taruh kursor pada gambar untuk contoh tampilan"
"Root","Sumber"
"SKU","SKU"
"SKU length should be %s characters maximum.","Panjang SKU harusnya %s Maksimum karakter."
"Save","Simpan"
"Save Attribute","Simpan Atribut"
