"-OR-","-ATAU-"
"Customer triggered a money-back guarantee.","Pelanggan memicu jaminan uang kembali."
"Daily","harian"
"Debit","Debit"
"Debit Card Cash Back","Kartu debit cash back"
"Debit Card Transaction","Transaksi kartu debit"
"Debit or Credit","Debit atau kredit"
"Debug Mode","Mode debug"
"Direct Payment API","Pembayaran langsung  API"
"Discount","Diskon"
"Displays on catalog pages and homepage.","Menampilkan pada halaman katalog dan beranda."
"Don't have a PayPal account? Simply enter your email address.","Tidak punya akun PayPal? Cukup masukkan alamat email Anda."
"Donate™ have a PayPal merchant account? You can still accept credit card payments through the Payflow Pro Gateway.","Donate™ memiliki merchant account PayPal? Anda masih dapat menerima pembayaran kartu kredit melalui Gateway Payflow Pro."
"Dynamic","Dinamis"
"EFT Funding (German banking)","EFT Pendanaan (perbankan Jerman)"
"Edit Shopping Cart","Sunting cart"
"Email Associated with PayPal Merchant Account","Email Terkait dengan PayPal Akun Pedagang"
"Enable Automatic Fetching","Aktifkan Pengambilan Otomatis"
"Enable PayPal Guest Checkout","Aktifkan PayPal Checkout pengunjung"
"Enabled","Aktif"
"Event","Peristiwa"
"Event Code","Kode peristiwa"
"Every 10 days","setiap 10 hari"
"Every 14 days","Setiap 14 hari"
"Every 3 days","Setiap 3 hari"
"Every 30 days","Setiap 30 hari"
"Every 40 days","Setiap 40 hari"
"Every 7 days","Setiap 7 hari"
"Exact Match. Address and Postal Code. International","Sama persis. Alamat dan Kode Pos. Internasional"
"Exact Match. Address and Postal Code. UK-specific","Sama persis. Alamat dan Kode Pos. khusus inggris raya"
"Exact Match. Address and nine-digit ZIP code","Sama persis. Alamat dan dan 9 digit Kode ZIP"
"Express Checkout","Express Checkout"
"Express Checkout (Payflow Edition) Settings","Pengaturan Express Checkout (Edisi Payflow)"
"Express Checkout APIs","Express Checkout APIs"
"Express Checkout Settings","Pengaturan Express Checkout"
"Express Checkout and Order have been canceled.","Express Checkout dan pesanan telah dibatalkan"
"Express Checkout has been canceled.","Express Checkout telah dibatalkan."
"Failed to fetch reports from '%s@%s'.","Gagal mengambil laporan dari '%s@%s'."
"Fee Amount","Jumlah biaya"
"Fee Debit or Credit","Biaya debit atau kredit"
"Fee Reversal","Biaya pembalikan"
"Fee: Foreign ACH Withdrawal","Biaya : Penarikan ACH asing"
"Fee: Mass Pay Request","Biaya:Permintaan Masa Bayar"
"Fee: Web Site Payments Pro Account Monthly","Biaya: Pembayaran situs akun pro bulanan"
"Fee: WorldLink Check Withdrawal","Biaya:Penarikan cek worldlink"
"Fetch","Mengambil"
"Fetch Updates","Perbaruai mengambil"
"Fetched %s report rows from '%s@%s'.","Ambil %s baris laporan dari '%s@%s'."
"Frontend Experience Settings","Pengaturan Pengalaman antar muka"
"Funding","Pembiayaan"
"General (Authorization)","Umum (otorisasi)"
"General (Dividend)","Umum (Dividen)"
"General (Funds Transfer from PayPal Account to Another)","Umum (Transfer Dana dari Akun PayPal ke yang lain)"
"General (Purchase with a credit card)","Umum ( membeli dengan kartu kredit )"
"General Adjustment without businessrelated event","Umum Penyesuaian tanpa peristiwa berhubungan dengan bisnis"
"General Currency Conversion","Konversi Mata uang umum"
"General Funding of PayPal Account ","Pembiayaan umum dari akun paypal"
"General Redemption","Penukaran umum"
"General Withdrawal from PayPal Account","Penarikan umum dari akun paypal"
"General. Product no longer supported","Umum. Produk tidak mendukung"
"General: Use of PayPal account for purchasing as well as receiving payments","Umum: Gunakan rekening PayPal untuk pembelian serta menerima pembayaran"
"General: Withdrawal from PayPal Account","Umum: Penarikan dari Rekening PayPal"
"General: Withdrawal to Non-Bank Entity","Umum: Penarikan entitas Non-Bank"
"General: adjustment of a type not belonging to the other T12xx categories","Umum: penyesuaian jenis yang tidak termasuk kategori T12xx lainnya"
"General: bonus of a type not belonging to the other T08xx categories","Umum: bonus jenis yang tidak termasuk kategori T08xx lainnya"
"General: event not yet categorized","Umum: peristiwa belum dikategorikan"
"General: non-payment fee of a type not belonging to the other T01xx categories","Umum: non-pembayaran biaya dari tipe yang tidak termasuk kategori T01xx lainnya"
"General: received payment of a type not belonging to the other T00xx categories","Umum: pembayaran yang diterima dari jenis yang tidak termasuk kategori T00xx lainnya"
"General: reversal of a type not belonging to the other T11xx categories","Umum: pembalikan jenis yang tidak termasuk kategori T11xx lainnya"
"General: temporary hold of a type not belonging to the other T15xx categories","Umum: tahan sementara dari jenis yang tidak termasuk kategori T15xx lainnya"
"Get Credentials from PayPal","Dapatkan Referensi dari PayPal"
"Gift Certificate Payment: purchase of Gift Certificate","Kupon Hadiah Pembayaran: pembelian Sertifikat Hadiah"
"Gift Certificate Redemption","Penebusan Kupon Hadiah"
"Gross Amount","Jumlah Kotor"
"Header Background Color","Warna Latar Belakang Header"
"Header Border Color","Warna Batas Header"
"Header Image URL","Gambar URL Header"
"Help","Bantuan"
"Hidden Virtual PayPal Debit Card Transaction","PayPal Kartu Debit Virtual Transaksi Tersembunyi"
"Hold for Dispute Investigation","Tahan selama Investigasi Sengketa"
"IPN ""%s"".","IPN ""%s""."
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Jika kosong, nilai standar akan digunakan. URL kustom dapat diberikan oleh kesepakatan CardinalCommerce."
"If not specified, Default Country from General Config will be used","Jika tidak ditentukan, Acuan Negara dari konfigurasi Umum akan digunakan"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Jika opsi ini diaktifkan, pelanggan dapat mengubah alamat pengiriman dan metode pengiriman pada situs web PayPal. Dalam modus live bekerja melalui protokol HTTPS saja."
"Impossible to issue a refund transaction because the capture transaction does not exist.","Tidak mungkin untuk mengeluarkan transaksi pengembalian dana karena transaksi pengambilan tidak ada."
"Incentive","Insentif"
"Initiation Date","Inisiasi data."
"Integral Evolution","Evolusi integral"
"Integral Evolution Settings","Pengaturan evolusi integral"
"Invoice ID","ID faktur"
"Issuer Liability","Kewajiban penerbit"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Dianjurkan untuk menetapkan nilai ini ke ""Kartu Debit atau Kredit"" per Tampilan toko."
"It is recommended to set this value to ""PayPal"" per store views.","Dianjurkan untuk mengatur nilai ini ke ""PayPal"" per Tampilan toko."
"Items in Your Shopping Cart","Item dalam cart Anda"
"Last Correlation ID","ID Terakhir Korelasi"
"Last Transaction ID","ID Terakhir Korelasi"
"Learn More","Selengkapnya"
"Login","Login"
"Looking for PayPal? We have our own tab to the left under Sales.","Mencari PayPal? Kami memiliki tab kita sendiri sebelah kiri di bawah Penjualan."
"Mass Pay Payment","Massa Bayar Pembayaran"
"Matched (CVV2)","Cocok (CVV2)"
"Matched (CVV2CSC)","Cocok (CVV2CSC)"
"Matched Address only (no ZIP)","dicocokan hanya alamat (no ZIP)"
"Matched Address only (no ZIP). International","dicocokan hanya alamat (no ZIP). Internasional"
"Matched Postal Code only (no Address)","Hanya kode pos yang dicocokan (Alamat tidak ada)"
"Matched five-digit ZIP only (no Address)","Dicocokan lima-digit ZIP (no Address)"
"Matched whole nine-didgit ZIP (no Address)","Kode Pos dicocokkan saja (Alamat tidak ada)"
"Merchant Account","Akun penjual"
"Merchant Country","Negara Penjual"
"Merchant Liability","Kewajiban Penjual"
"Merchant Protection Eligibility","kewajiban proteksi penjual"
"Merchant Referral Bonus","Bonus arahan penjual"
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","penjual memegang sebuah akun non-AS dan tidak memiliki mekanisme penarikan."
"Merchant reference ID format is not supported.","Format ID referensi Penjual tidak mendukung."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Pedagang harus mendaftar untuk PayPal untuk mengaktifkan fitur penagihan perjanjian. Jangan mengaktifkan opsi ini sampai PayPal menegaskan bahwa perjanjian penagihan diaktifkan untuk akun penjual Anda."
"Mobile Payment (made via a mobile phone)","Pembayaran Handphone (dilakukan melalui telepon selular)"
"N/A","N/A"
"N/A. Address not checked, or acquirer had no response. Service not available","N / A. Alamat tidak diperiksa, atau pengakuisisi tak punya jawaban. Layanan tidak tersedia"
"N/A. Global Unavailable","N / A. secara global Tidak Tersedia"
"N/A. International Unavailable","N/A. secara internasional tidak tersedia"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. Pedagang telah mengindikasikan bahwa CVV2 tidak muncul pada kartu"
"N/A. No response","N/A. Tidak ada respon"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. Tidak diperbolehkan untuk transaksi MOTO (Internet / Telepon)"
"N/A. Not processed","N/A. Tidak diproses"
"N/A. Retry","N/A. mencoba lagi"
"N/A. Service not Supported","N/A. Layanan tidak mendukung"
"N/A. Service not available","N/A. Layanan tidak tersedia"
"N/A. Service not supported","N/A. Layanan tidak mendukung"
"N/A. The merchant did not provide AVS information","N/A. Pedagang tidak memberikan informasi AVS"
"N/A. The merchant has not implemented CVV2 code handling","N / A. Pedagang belum menerapkan kode penanganan CVV2"
"N/A. Unavailable","N/A. tidak tersedia"
"Negative Balance","Saldo negatif"
"Never","Tidak pernah"
"No","Tidak"
"No Details matched","Detil tidak cocok"
"No Details matched. International","Detil tidak cocok. Internasional"
"No Liability Shift","Tidak ada Pergeseran Kewajiban"
"No Logo","Tidak ada logo"
"No match","Tidak cocok"
"None of the address information matched","Tidak ada informasi alamat yang cocok"
"Note: %s","Catat: %s"
"Nothing to fetch because of an empty configuration.","Tidak ada yang mengambil karena dari konfigurasi kosong."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Perhatikan bahwa PayPal dapat menangani hingga 10 pilihan pengiriman. Itulah sebabnya Magento akan mentransfer hanya 10 pilihan  pengiriman termurah pertama  jika ada lebih dari 10 yang tersedia."
"Notified customer about creditmemo #%s.","Diberitahu pelanggan tentang memo kredit #%s."
"Notified customer about invoice #%s.","Diberitahu pelanggan tentang faktur #%s."
"Now accepting PayPal (150 X 40)","Sekarang menerima PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Sekarang menerima PayPal(150 X 60)"
"Number of Child Authorizations","Jumlah Otorisasi Anak"
"Open Authorization","Buka otorisasi"
"Order","Pesanan"
"Order ID","Order ID"
"Order Valid Period (days)","Periode Valid Order (Hari)"
"Ordered amount of %s.","Jumlah diorder %s."
"Ordering amount of %s is pending approval on gateway.","Jumlah pemesanan dari %s menunggu persetujuan pada gateway."
"Page Background Color","Warna Background Halaman"
"Page Style","gaya halaman"
"Part of the address information matched","Bagian dari informasi alamat yang cocok"
"Partner","Mitra"
"Pasarela integral","Pasarela terpadu"
"Pasarela integral Settings","Pengaturan terpadu pasarela"
"Password","Kata sandi"
"Pay Now","Bayar sekarang"
"PayPal","PayPal"
"PayPal Balance Manager function of PayPal account","Fungsi pengelola saldo paypal dari akun Paypal"
"PayPal Buyer Warranty Bonus","Bonus jaminan pembeli paypal"
"PayPal Debit Card Cash Advance","PayPal Kartu Debit Penarikan Tunai"
"PayPal Debit Card Withdrawal from ATM","PayPal Kartu Debit Penarikan dari ATM"
"PayPal Express Checkout Shortcut Wrapper","PayPal Express Checkout Jalan Pintas Wrapper"
"PayPal Express Checkout Token does not exist.","PayPal Express Checkout Token tidak ada."
"PayPal Express Order Review Form","PayPal Express form tinjauan pesanan"
"PayPal Fee Information","Informasi pembayaran PayPal"
"PayPal Merchant Pages Style","Gaya halaman Pedagang Paypal"
"PayPal Pro","PayPal Pro"
"PayPal Pro Settings","Pengaturan PayPal Pro"
"PayPal Product Logo","Logo produk PayPal"
"PayPal Protection Bonus","Bonus proteksi PayPal"
"PayPal Reference ID","Id referensi PayPal"
"PayPal Reference ID Type","Jenis ID referensi PayPal"
"PayPal Settlement Reports","Penyelesaian laporan PayPal"" "
"PayPal certificate does not exist.","Sertifikat PayPal tidak ada."
"PayPal certificate file is empty.","file sertifikat payal kosong."
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","PayPal tidak mendukung perintah pengolahan dengan jumlah nol. Untuk melengkapi pembelian Anda, lanjutkan ke proses checkout standar."
"PayPal gateway has rejected request. %s","Gateway PayPal telah menolak permintaan. %s"
"PayPal processes all of your orders, and you get paid.","PayPal memproses semua pesanan Anda, dan Anda dibayar."
"PayPal response hasn't required fields.","Respon PayPal tidak perlu bidang."
"PayPal retains reports for 45 days.","PayPal memegang laporan untuk 45 hari."
"PayPal/Centinel Electronic Commerce Indicator","PayPal / Centinel indikator Perdagangan Elektronik"
"PayPal/Centinel Visa Payer Authentication Service Result","PayPal/Centinel Visa Wajib Otentikasi Layanan Hasil"
"Payer Address ID","ID alamat pembayar"
"Payer Address Status","Status alamat pembayar"
"Payer Email","Email pembayar"
"Payer Email: %s","Email Pembayarl: %s"
"Payer ID","ID Pembayar"
"Payer Status","Status pembayar"
"Payer is not identified.","Pembayar tidak ditentukan"
"Payflow Link (for USA and Canada)","Tautan Payflow (untuk USA dan Canada)"
"Payflow Link Settings","Pengaturan tautan Payflow"
"Payflow Pro Gateway","Gateway Payflow Pro"
"Payflow Pro Settings","Pengaturan Payflow Pro"
"Payment Action","Aksi pembayaran"
"Payment Applicable From","Payment Applicable From"
"Payment Method","Metode pembayaran"
"Payment Refund initiated by merchant","Pembayaran Kembali dimulai oleh pedagang"
"Payment has been declined. Please try again.","Pembayaran telah ditolak. Silakan coba lagi."
"Payments by PayPal (150 X 40)","Pembayaran oleh PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Pembayaran oleh PayPal (150 X 60)"
"Payments by cards + seller protection - <strong style=""color:red"">Contact PayPal before activating</strong>","Pembayaran dengan kartu + perlindungan penjual- <strong style=""color:red"">Hubungi PayPal sebelum mengaktifkan</strong>"
"Paypal Billing Agreement Settings","Perjanjian Penagihan Pengaturan paypal"
"Pending PayPal","paypal tertunda"
"Place Order","Menempatkan pesanan"
"Please agree to all the terms and conditions before placing the order.","Silahkan menyetujui semua syarat dan ketentuan sebelum penempatan order."
"Please do not refresh the page until you complete payment.","Jangan memperbarui halaman sampai Anda menyelesaikan pembayaran."
"Please select a shipping method...","Silahkan pilih metode pengiriman..."
"Points Incentive Redemption","Poin Insentif Penukaran"
"Postage Payment to either USPS or UPS","Pembayaran ongkos kirim baik USPS atau UPS"
"Preapproved Payment (BillUser API), either sent or received","Pra disetujui Pembayaran (BillUser API), baik dikirim atau diterima"
"Preapproved Payment ID","ID Pembayaran Pra disetujui"
"Price","Harga"
"Process credit cards directly on your website with PayPalâ€™s all-in-one online payment processing solution.","Proses kartu kredit langsung pada website Anda dengan PayPalâ € ™ s semua dalam-satu solusi pemrosesan pembayaran secara online."
"Product Name","Nama produk"
"Proxy Host","Host Proxy"
"Proxy Port","Port Proxy"
"Qty","Kuantitas"
"Quick set-up service lets your customers securely complete transactions.","Set-up layanan cepat memungkinkan pelanggan Anda aman menyelesaikan transaksi."
"Reauthorization","reautorisasi"
"Reference Information","Informasi referensi"
"Refund issued by merchant.","Pembayaran Kembali yang dikeluarkan oleh pedagang."
"Reimbursement for a chargeback.","Penggantian untuk suatu chargeback"
"Reimbursement of Chargeback","Penggantian untuk suatu chargeback"
"Report Date","Tanggal laporan"
"Reports","Laporan"
"Require CVV Entry","Dibutuhkan entri CVV"
"Reversal","pembalikan"
"Reversal of General Account Hold","Pembalikan atas pemegang akun umum"
"Reversal of Points Usage","Pembalikan dari pemegang poin"
"Reversal of an adjustment.","Pembalikan dari penyesuaian"
"Reversal of hold for Dispute Investigation","Pembalikan atas pemegang untuk Investigasi Sengketa"
"Review Order","Tinjauan pesanan"
"Reward Voucher Redemption","Penukaran Voucher Reward"
"SFTP Credentials","Surat pengenal SFTP"
"Sale","Penjualan"
"Sales","Penjualan"
"Sandbox Credentials","Referensi sandbox"
"Sandbox Mode","Mode sandbox"
"Schedule","Jadwal"
"Schedule description is too long.","Deskripsi jadwal terlalu panjang"
"Scheduled Fetching","Pengambilan terjadwal"
"Select a PayPal Solution","Pilih Solusi PayPal"
"Settlement Consolidation","Konsolidasi penyelesaian"
"Settlement Report Settings","Pengaturan laporan konsolidasi"
"Settlement of a chargeback.","penyelesaian pembayaran kembali."
"Severe 3D Secure Card Validation","Validasi Kartu yang berat keamanan 3D"
"Severe Validation Removes Chargeback Liability on Merchant","Validasi yang berat Menghapus Kewajiban Pembayaran balik pada Pedagang"
"Severe validation removes chargeback liability on merchant.","Validasi yang berat menghilangkan kewajiban pembayaran kembali pada pedagang."
"Shipping","Pengiriman"
"Shipping Address","Alamat pengiriman"
"Shipping Information","Informasi pengiriman"
"Shipping Method","Metode pengiriman"
"Shop now using (150 X 40)","Toko sekarang menggunakan (150 X 40)"
"Shop now using (150 X 60)","Toko sekarang menggunakan (150 X 60)"
"Shortcut","Jalan Pintas"
"Shortcut Buttons Flavor","Jalan pintas Tombol Flavor"
"Shortcut on Product View","Jalan pintas pada tampilan produk"
"Shortcut on Shopping Cart","Jalan pintas pada cart"
"Sign a billing agreement to streamline further purchases with PayPal.","Menandatangani kesepakatan penagihan untuk merampingkan pembelian lebih lanjut dengan PayPal."
"Solo","Solo"
"Sorry, no quotes are available for this order at this time.","Maaf, tidak ada harga yang tersedia untuk pesanan ini saat ini."
"Sort Order","Sort Order"
"Specifies what the Authorization Honor Period is on the merchant PayPal account. It must mirror the setting in PayPal.","Menetapkan apa Periode Kehormatan Otorisasi adalah pada merchant account PayPal. Harus mencerminkan pengaturan di PayPal."
"Specifies what the Order Valid Period is on the merchantâ€™s PayPal account. It must mirror the setting in PayPal.","Menetapkan apa Periode Pesanan valid adalah pada merchant account PayPal. Harus mencerminkan pengaturan di PayPal."
"Static","Statis"
"Submitting order information...","Mengirimkan informasi pemesanan..."
"Subscriber name is too long.","Nama Pelanggan terlalu Panjang."
"Subscription ID","ID berlangganan"
"Subscription Payment, either payment sent or payment received","Pembayaran Berlangganan, baik pembayaran dikirim atau pembayaran diterima"
"Subtotal","Subtotal"
"Summary Text for Aggregated Cart","Teks ringkasan untuk penggabungan keranjang"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","mendukung kartu American Express membutuhkan persetujuan tambahan. Selengkap nya di <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"Switch/Maestro","Ganti/Maestro"
"Test Mode","Mode tes"
"The background color for the checkout page around the header and payment form.","Warna background untuk halaman checkout sekitar header dan bentuk pembayaran."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","Warna latar belakang untuk header dari halaman checkout. Sensitif jenis huruf enam karakter heksadesimal kode warna HTML di ASCII."
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","Nomor standar otorisasi anak di account PayPal Anda adalah 1. Untuk melakukan beberapa otorisasi silahkan hubungi PayPal untuk meminta kenaikan."
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","Gambar di kiri atas halaman checkout. Ukuran max adalah 750x90-pixel. <strong style=""color:red"">https</strong>sangat dianjurkan."
"The maximum number of child authorizations is reached.","Jumlah maksimum otorisasi anak tercapai."
"The merchant account is not yet verified.","Rekening pedagang belum diverifikasi."
"The payment curency does not match any of the merchant\'s balances currency.","pembayaran kurs tidak dapat ditemukan pada mata uang pedagang saldo."
"The payment eCheck is not yet cleared.","Pembayaran eCheck belum dihapus"
"The payment is authorized but not settled.","Pembayaran disahkan tetapi tidak diselesaikan."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","Pembayaran tertunda karena dibuat ke alamat email yang belum terdaftar atau dikukuhkan."
"The payment is pending while it is being reviewed by PayPal for risk.","Pembayaran tertunda ketika sedang ditinjau oleh PayPal untuk risiko."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","Pembayaran dilakukan melalui kartu kredit. Untuk menerima dana pedagang harus perbaruan akun untuk Bisnis atau status Premier."
"There was an error processing your order. Please contact us or try again later.","Ada masalah saat memproses pesanan Anda. Silahkan hubungi kami atau coba lagi nanti."
"Time of Day","Waktu dari hari"
"Title","Judul"
"Transaction ID","ID transaksi"
"Transaction Information","Informasi transaksi"
"Transfer Cart Line Items","Transfer baris keranjang barang"
"Transfer Shipping Options","Pilihan pengiriman transfer"
"Triggered Fraud Filters","Yang dipicu filter penipuan"
"Unable to cancel Express Checkout.","Tidak dapat membatalkan Express Checkout."
"Unable to change status. Current status is not correspond to real status.","Tidak dapat mengubah status. Status saat ini tidak sesuai dengan status real time."
"Unable to communicate with the PayPal gateway.","Tidak dapat berkomunikasi dengan gateway PayPal."
"Unable to initialize Express Checkout review.","Tidak dapat menginisialisasi tinjauan Ekspres Checkout"
"Unable to initialize Express Checkout.","Tidak dapat menginisialisasi Express Checkout."
"Unable to place the order.","Tidak dapat menempatkan pesanan."
"Unable to process Express Checkout approval.","Tidak dapat memproses persetujuan Ekspres Checkout."
"Unable to start Express Checkout.","Tidak untuk memulai Express Checkout."
"Unable to update shipping method.","Tidak dapat memperbarui metode pengiriman."
"Unknown reason. Please contact PayPal customer service.","Alasan tidak diketahui. Silahkan hubungi layanan pelanggan PayPal."
"Update Shipping Method","Perbaruan metode perbaruan"
"Use Proxy","Gunakan Proxy"
"Use colon to specify port. For example: ""test.example.com:5224"".","Gunakan kolon untuk menentukan port. misalnya: ""test.example.com:5224""."
"User","Pengguna"
"User-initiated Currency Conversion","User-dimulai Konversi Mata Uang"
"Uses store frontend name by default.","Menggunakan nama toko antarmuka pada pengaturan standar."
"Vendor","Vendor"
"View","Tampilan"
"View Demo","Demo tampilan"
"View PayPal solutions.","Lihat solusi payapal."
"View Transaction","Lihat transaksi"
"View Transaction Details","Lihat detil transaksi"
"Virtual PayPal Debit Card Transaction","Kartu Debit Virtual Transaksi PayPal"
"Virtual Terminal Payment","Pembayaran terminal virtual"
"Void","Tidak berlaku"
"We prefer PayPal (150 X 40)","Kami lebih memilih PayPal (150 X 40)"
"We prefer PayPal (150 X 60)","Kami lebih memilih PayPal (150 X 60)"
